         398394 function calls (396560 primitive calls) in 1.516 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      398    0.000    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_receivebuffer.py:77(maybe_extract_at_most)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      508    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      217    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_receivebuffer.py:67(_extract)
       88    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      221    0.000    0.000    1.020    0.005 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/ssl.py:1256(recv)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
     88/4    0.000    0.000    0.096    0.024 <frozen importlib._bootstrap_external>:934(exec_module)
      221    0.000    0.000    1.020    0.005 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/ssl.py:1125(read)
       35    0.000    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:378(__init__)
      697    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:259(_base_match)
      185    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_events.py:299(__init__)
       34    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1796(__class_getitem__)
      189    0.000    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_state.py:275(process_event)
       66    0.000    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:272(_compile)
      294    0.000    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:623(_match_attribute_value_helper)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       40    0.000    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:653(Union)
      379    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
     1264    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/httpcore/_exceptions.py:7(map_exceptions)
      505    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:231(__next)
        9    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      603    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1358(__eq__)
      190    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_connection.py:330(_respond_to_state_changes)
      396    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      216    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      221    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_receivebuffer.py:53(__iadd__)
       31    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:241(_optimize_charset)
        1    0.000    0.000    0.045    0.045 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/anyio/__init__.py:1(<module>)
      221    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/h11/_connection.py:352(receive_data)
      409    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:162(__getitem__)
       92    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      512    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:292(matches_string)
       34    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/functools.py:35(update_wrapper)
      743    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       91    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
       89    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
      126    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/typing.py:1251(__init__)
       48    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      396    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
