         431035 function calls (430888 primitive calls) in 1.386 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.001    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:378(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       21    0.000    0.000    0.000    0.000 {built-in method posix.stat}
     1831    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     12/6    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_parser.py:507(_parse)
      579    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:292(matches_string)
      328    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:2160(get)
      120    0.000    0.000    0.002    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/builder/_htmlparser.py:285(handle_comment)
       35    0.000    0.000    0.010    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/element.py:1079(_find_all)
        3    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       40    0.000    0.000    0.108    0.003 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/urllib3/response.py:1173(read_chunked)
       69    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:224(__init__)
      163    0.000    0.000    0.000    0.000 <frozen os>:674(__getitem__)
       55    0.000    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/__init__.py:272(_compile)
     23/6    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/re/_compiler.py:37(_compile)
      302    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      176    0.000    0.000    0.001    0.000 <frozen _collections_abc>:859(__iter__)
      241    0.000    0.000    0.000    0.000 /Users/dionedre/labs/DS_Bootcamp.Day03-1/src/ex02/dionedre/lib/python3.11/site-packages/bs4/filter.py:321(matches_tag)
